poet_name,poet_slug,title,writing_slug,writing_type,language,categories,content
Mirza Ghalib,mirza-ghalib,Hazaron Khwahishen,hazaron-khwahishen,ghazal,urdu,Philosophy;Life,Hazaron khwahishen aisi ke har khwahish pe dam nikle
Mirza Ghalib,mirza-ghalib,Dil-e-Nadan,dil-e-nadan,ghazal,urdu,Love;Philosophy,Dil-e-nadan tujhe hua kya hai
Jaun Elia,jaun-elia,Main Bhi Bohat Ajeeb Hoon,main-bhi-bohat-ajeeb-hoon,ghazal,urdu,Sadness;Life,Main bhi bohat ajeeb hoon itna ajeeb hoon ke bas
Jaun Elia,jaun-elia,Shayad Mujhe Kisi Se Mohabbat Nahi Hui,shayad-mujhe-kisi-se-mohabbat,ghazal,urdu,Love;Sadness,Shayad mujhe kisi se mohabbat nahi hui
Faiz Ahmed Faiz,faiz-ahmed-faiz,Bol,bol,nazm,urdu,Revolution,Bol ke lab azaad hain tere
Faiz Ahmed Faiz,faiz-ahmed-faiz,Mujh Se Pehli Si Mohabbat,mujh-se-pehli-si-mohabbat,nazm,urdu,Love,Mujh se pehli si mohabbat mere mehboob na maang
Ahmad Faraz,ahmad-faraz,Ranjish Hi Sahi,ranjish-hi-sahi,ghazal,urdu,Love;Sadness,Ranjish hi sahi dil hi dukhane ke liye aa
Parveen Shakir,parveen-shakir,Khushbu,khushbu,nazm,urdu,Love,Khushbu ki tarah aaya woh tez hawaaon mein
Rahat Indori,rahat-indori,Bulati Hai Magar,bulati-hai-magar,shayari,urdu,Life,Bulati hai magar jaane ka nahi
Munawwar Rana,munawwar-rana,Maa,maa,nazm,urdu,Life;Spirituality,Kisi ko ghar mila hisse mein ya koi dukaan aayi
